id,strain,agouti,group,sex,CACNA1C,d50bw,pctdurlight,d1totalactivity,d1centerdur,d2totalactivity,d3.d2totalactivity,immobdur,ppibox,startle
55001,CBA,a,CAC1,F,WT,18.5,41.5,5567,183,5629,4200,85.1,1,41.7
55002,CBA,a,CAC1,F,WT,18.8,27,8251,220,7674,6919,37.8,2,93.2
55003,C58,b,CAC1,M,HET,29.4,48.4,6178,272,4211,11574,12.6,3,46.8
55004,C58,b,CAC1,M,WT,27.1,45.5,11245,272,5579,12809,32.4,4,15.3
55005,BTBR,b,CAC1,M,WT,34.4,47.3,5589,29,3745,15587,76.5,5,34
55006,BTBR,b,CAC1,M,HET,35.8,32,2504,3,1827,-731,10.8,1,20.2
55007,BTBR,b,CAC1,M,HET,38.7,29.6,6786,44,3582,1176,51.7,2,14
55008,BTBR,b,CAC1,F,HET,24,36.4,5968,196,5139,4170,31.4,3,67
55009,BTBR,b,CAC1,F,HET,24,68.7,2222,6,2592,2495,21,4,48
55010,BTBR,b,CAC1,F,WT,23,37.9,8748,158,5327,8192,25.7,5,53.6
55011,129,a,CAC1,M,WT,22,39.6,4636,76,2573,9701,20.6,1,85.8
55012,129,a,CAC1,M,WT,23.9,48.1,5079,170,4004,9755,26.5,2,118.9
55013,129,a,CAC1,M,HET,23.5,55.7,3467,52,1319,1583,74.9,3,91.8
55014,129,a,CAC1,F,HET,20,26,1936,9,1071,-250,122.9,4,36.1
55015,129,a,CAC1,F,WT,19.1,35.5,2946,38,2337,2624,49.2,5,NA
55016,129,a,CAC1,F,HET,19.2,35,842,4,630,1719,69.3,1,16.2
55017,129,a,CAC1,F,HET,18.3,39.2,1461,3,623,-172,121.9,2,57.1
55018,129,a,CAC1,F,WT,20.7,40.1,4942,30,3130,4963,66.6,3,163.6
55019,BALB,a,CAC1,M,HET,27.8,22.4,5875,95,5565,7643,10.3,4,27.5
55020,BALB,a,CAC1,M,HET,28,23.6,2245,4,963,1817,6.7,5,31.1
55021,BALB,a,CAC1,F,HET,20,27.6,2327,0,1113,NA,56.8,1,9
55022,BALB,a,CAC1,F,HET,21,28.1,3123,184,4046,NA,17.4,2,10.8
55023,BALB,a,CAC1,F,WT,19.5,26.1,4544,84,3574,18834,11.4,3,28.8
55024,BALB,a,CAC1,F,WT,20.2,41.2,2464,13,3076,12465,77.7,4,17.3
55025,PL,a,CAC1,M,HET,26.1,49.5,3524,151,2884,4218,3.2,5,20
55026,PL,a,CAC1,M,WT,24.4,46.3,5067,184,4665,1370,24.6,1,9.3
55027,PL,a,CAC1,M,WT,25.2,48.3,4003,232,5127,10257,29.7,2,20.6
55028,PL,a,CAC1,M,HET,27.9,40,5453,245,4256,10643,30.9,3,25.9
55029,C3H,a,CAC1,M,HET,25.7,34.4,3156,66,3404,8083,3.3,4,172.4
55030,C3H,a,CAC1,M,WT,26.1,40.4,5774,124,7126,21466,44.3,5,113.6
55031,C3H,a,CAC1,M,HET,27,29.1,3511,36,2758,10329,6.7,1,61.3
55032,C3H,a,CAC1,F,HET,19,30,3441,38,3992,7805,7.1,2,31.2
55033,C3H,a,CAC1,F,HET,19,25.4,3328,61,2963,8939,0.4,3,65.2
55034,C3H,a,CAC1,F,HET,18.7,19.7,2182,9,2513,14845,0.7,4,57.9
55035,C3H,a,CAC1,F,HET,19.2,13.8,3237,34,2667,21537,2.8,5,53.2
55036,C3H,a,CAC1,F,WT,17.8,48.3,4341,168,3942,16656,12.5,1,12.8
55037,PL,a,CAC1,M,WT,22.5,45.6,6128,143,4318,7187,13,2,9.3
55038,PL,a,CAC1,M,HET,23.5,38.6,4191,159,2650,7906,0,3,20.9
55039,PL,a,CAC1,M,HET,25.3,8.6,3233,77,3624,10455,2.4,4,46.8
55040,PL,a,CAC1,F,WT,16.8,32.4,4942,150,6094,13251,3.5,5,25.7
55041,PL,a,CAC1,F,WT,16,29.8,5113,110,4710,7114,39.8,1,19.5
55042,PL,a,CAC1,F,HET,17,43.8,4090,141,3910,19298,35.2,2,17.1
55043,PL,a,CAC1,F,HET,17,30,3772,119,3094,15893,25.2,3,59.1
55044,129,a,CAC1,M,HET,28,32.2,1699,6,908,-248,21.2,4,194.2
55045,129,a,CAC1,M,HET,27.1,44.7,3639,1,2928,2238,0.1,5,132.3
55046,129,a,CAC1,F,WT,22,28.7,2729,25,1917,899,70.3,1,43.7
55047,129,a,CAC1,F,HET,20.9,26.3,1755,31,421,94,15,2,116.3
55048,DBA,b,CAC2,M,HET,29,20,3107,35,3706,3844,13.4,1,37.3
55049,DBA,b,CAC2,M,HET,28,17.4,3124,21,2832,3853,69.5,2,11
55050,DBA,b,CAC2,M,HET,30,34.3,2938,36,2391,1308,111.7,3,24.4
