id,strain,littersize,group,sex,TCF7L2,coatcolor,bw2,centerduration,totalactivity,FCtimeofday,d1tone,d2context,d3tone,PPIbox,PPI6,PPIstartle,immobdur,fastglucose,bw3,baseglucose
49978,NZB,6,1A,M,WT,black,32.2,183.3,1902,AM,0,99.3,77.2,1,56.1,25.6,88.2,NA,38.9,80
49979,NZB,6,1A,M,HET,black,29,0.4,945.3,AM,0,42.4,92.9,2,44.2,50.8,89.2,NA,36,141
49980,NZB,6,1A,M,HET,black,30,12.9,926.2,AM,9.43,10.3,82.1,3,4.1,73.3,20.6,NA,35.9,114
49981,NZB,6,1A,F,HET,black,23.4,224.6,1418.2,AM,12.99,22.4,72.8,4,58.1,42.6,68.1,NA,29.7,99
49982,NZB,6,1A,F,HET,black,25,35.5,3135.4,AM,24.56,25.4,94.6,5,29.6,74.5,NA,NA,30,95
49983,NZB,6,1A,F,WT,black,27.3,139,3915.4,AM,3.13,26.2,62.1,1,45.1,11.2,NA,NA,32.1,110
50901,NON,4,1A,M,WT,agouti,37.9,93.1,3724.7,AM,2.68,1.6,13.4,2,54.1,45.3,NA,NA,51.1,155
50902,NON,4,1A,M,WT,agouti,37.4,107.5,2882.6,AM,2.68,1.8,25.5,3,62.6,29.8,NA,NA,50.7,137
50903,NON,4,1A,F,HET,agouti,25.7,7.5,3223.4,AM,1.79,0.7,8.5,4,29,42.9,NA,NA,30.5,108
50904,NON,4,1A,F,HET,agouti,26.7,9.5,2120.5,AM,0,3,21,5,39.8,34.8,NA,NA,31.8,118
50905,CBA,6,1A,M,HET,agouti,26.8,34.5,2049.6,AM,0.9,2.3,9.8,1,80.1,76,NA,NA,34.6,128
50906,CBA,6,1A,M,WT,agouti,29.9,182.7,4282.1,AM,2.68,10.2,18.8,2,56.1,95.4,NA,NA,41.3,133
50907,CBA,6,1A,M,HET,agouti,27.5,102.2,2678.8,AM,2.68,1.6,25.5,3,24.9,107.5,77.2,NA,31.6,119
50908,CBA,6,1A,F,HET,agouti,21.1,48,2145.5,AM,4.47,23,12.1,4,73.6,79.3,14.4,NA,23.2,89
50909,CBA,6,1A,F,WT,agouti,21.5,84.3,4457.1,AM,10.27,1.4,47.8,5,67.6,89.7,121.8,NA,27.3,127
50910,CBA,6,1A,F,WT,agouti,21.7,136.6,5343.9,AM,0,3.6,2.2,1,60.6,80.8,25.5,NA,27.8,111
50911,57L,3,1A,M,WT,black,32.9,254.4,4878.8,AM,4.92,8.6,61.6,2,27.8,10.5,108.5,NA,43.9,109
50912,57L,3,1A,M,HET,black,34.7,82.4,4846.9,AM,3.57,13.7,16.5,3,59,37.2,89.4,NA,42,128
50913,57L,3,1A,M,WT,black,34.3,122,4459.3,AM,1.79,4.1,16.5,4,61.7,38.5,89.1,NA,43,141
50914,SM,6,1A,M,HET,black+tan,26,66.3,7223.4,AM,8.48,11.7,35.7,5,50.3,129.1,77.9,NA,38.9,100
50915,SM,6,1A,M,WT,black+tan,26.8,183.5,8001.9,AM,0.9,0.9,18.3,1,50,90,14.2,NA,39,157
50916,SM,6,1A,M,WT,black+tan,25.4,131.1,7226.6,AM,0,2.5,8.5,2,25,142.9,22.3,NA,39.4,115
50917,SM,6,1A,M,WT,black+tan,26.2,229.3,6454,AM,0.9,5.5,50.5,3,34.3,59.7,18.5,NA,39.6,169
50918,SM,6,1A,F,WT,black+tan,20.2,121.9,6793,AM,0,0.2,44.7,4,48.2,97.7,70.1,NA,26,114
50919,SM,6,1A,F,HET,black+tan,19.3,110.1,8521.3,AM,2.68,3.6,26.3,5,70,95.2,112.8,NA,24.1,152
50920,57L,6,1A,M,HET,black,28.1,65.7,4786.6,AM,0.9,0.9,5.4,1,38.5,23.3,44.1,NA,29.9,143
50921,57L,6,1A,M,HET,black,28.3,102.7,3927.3,AM,1.34,1.1,21,2,57.6,21.8,18.1,NA,31,131
50922,57L,6,1A,F,WT,black,19.5,112.3,5390.7,AM,17.42,8.5,45.5,3,69.2,29.9,136.3,NA,23.2,113
50923,57L,6,1A,F,WT,black,20.1,258.3,4565.9,AM,2.68,11.6,35.3,4,32.6,19.6,45,NA,25,99
50924,57L,6,1A,F,WT,black,20.7,262.9,7568.8,AM,1.79,0.5,50.5,5,69.5,30,56.7,NA,23.9,107
50925,57L,6,1A,F,WT,black,21.7,205.7,4437.1,AM,3.13,23.7,52.7,1,42.8,10.6,175.9,NA,28.3,100
50926,LP,7,1A,M,WT,agouti,28,23.3,3015.6,AM,6.25,47.2,33,2,48.3,11.3,168.5,NA,34,138
50927,LP,7,1A,M,WT,agouti,28,10.9,1988.6,AM,7.59,87,84.8,3,-15.3,7,153.9,NA,35.5,99
50928,LP,7,1A,M,WT,agouti,28.8,31.3,2701.8,AM,1.79,47.2,70.5,4,39.5,16.1,168.2,NA,35.8,116
50929,LP,7,1A,F,HET,agouti,19.2,6.6,887.6,AM,1.79,67.1,37.5,5,59,14.8,195.5,NA,21.6,96
50930,LP,7,1A,F,HET,agouti,18.8,2.7,892.9,AM,1.34,34.3,59.8,1,9,6.3,178.9,NA,20.8,116
50931,LP,7,1A,F,WT,agouti,21.1,5.7,1463.4,AM,2.68,36.4,51.8,2,51.2,7.4,146.3,NA,25.2,135
50932,LP,7,1A,F,HET,agouti,20.6,20.5,3358.8,AM,2.68,42.1,50.5,3,32.2,10.7,170.8,NA,22.8,127
50933,PL,6,1A,M,HET,agouti,24,14.8,4383.7,AM,0.45,2.3,1.3,5,56.1,17.8,57.8,NA,26.7,79
50934,PL,6,1A,M,WT,agouti,24.5,71.2,3219.7,AM,0.45,3.9,24.6,1,35.4,15.5,20.7,NA,31,151
50935,PL,6,1A,M,WT,agouti,23.2,34.2,3358.2,AM,4.91,54.1,60.3,2,69.7,13.5,66.3,NA,29.3,140
50936,PL,6,1A,M,WT,agouti,25.9,133.9,3765.3,AM,4.47,5.9,44.7,3,31.3,21.6,25.7,NA,29.6,131
50937,PL,6,1A,M,WT,agouti,25.6,223.6,4225.2,AM,0.45,2.7,10.3,4,57.9,28.6,21,NA,32.6,135
50938,SEA,8,1B,M,WT,agouti,31.1,255.9,6074.1,AM,0,3.2,27.7,1,53.9,23,76.8,62,42,128
50939,SEA,8,1B,M,HET,agouti,28.9,67,5605.8,AM,0,0.2,0,2,62.2,21.8,73.2,78,32.4,108
50940,SEA,8,1B,F,WT,agouti,23.6,156,5126.3,AM,0,1.8,5.8,3,27,21.9,80.2,38,29.2,89
50941,SEA,8,1B,F,WT,agouti,21.6,113.3,5705.2,AM,0,4.3,11.6,4,66.7,33.3,89.8,47,28.1,100
50942,SEA,8,1B,F,HET,agouti,18.3,103.1,4949.9,AM,0.45,4.1,1.3,5,70.1,31.5,63.2,37,22.6,76
50943,SEA,8,1B,F,WT,agouti,22.6,231.8,5723.2,AM,0,8,1.3,1,16,12.3,44.4,41,27.2,118
50944,SEA,8,1B,F,WT,agouti,20.5,134.3,5824.3,AM,0.9,5.9,7.6,2,64.7,22.7,47.7,50,25.7,85
50945,SEA,10,1B,M,WT,agouti,29.4,153,4321.1,AM,0,2.7,1.8,3,24.4,26.3,25.9,40,40,152
50946,SEA,10,1B,M,HET,agouti,24.8,85.9,6558.1,AM,0,1.8,4.5,4,74.1,84.1,43.8,48,32.3,113
50947,SEA,10,1B,M,HET,agouti,24.6,33.1,5764.9,AM,0.45,0.4,0,5,59.3,28.5,33.4,65,33.2,117
50948,SEA,10,1B,M,WT,agouti,27.7,195.7,4836.6,AM,1.79,5.3,4.9,1,21.7,47.3,27.9,62,40.9,130
50949,SEA,10,1B,M,WT,agouti,27,312.9,10258.6,AM,0,0.4,1.3,2,61.2,22.5,72.8,63,39.2,128
50950,SEA,10,1B,F,WT,agouti,21.5,167.3,4775.4,AM,4.46,9.1,0.5,3,54.3,29.3,102.8,32,28.3,87
50951,SEA,10,1B,F,WT,agouti,22.2,174.6,6662.5,AM,5.36,0.4,2.2,4,17.5,24.2,45.6,21,25.5,93
50952,SEA,10,1B,F,WT,agouti,20.3,217,5445.3,AM,1.79,0.4,4.5,5,43.2,22.1,44.3,39,26.8,137
50953,SEA,10,1B,F,HET,agouti,19.9,127.1,6618.1,AM,0.45,2.9,1.8,1,46.8,14.5,48.3,25,24.2,137
50954,SEA,10,1B,F,HET,agouti,20,91.5,10561,AM,0.9,3.9,3.1,2,57.4,16.4,26.9,25,25,103
50955,SM,4,1B,M,WT,black+tan,30.6,252.2,6453.3,AM,0.9,16.7,6.7,3,25.1,103.8,32.1,107,41.7,178
50956,SM,4,1B,M,HET,black+tan,27.6,72.5,7791.3,AM,0.9,6.1,3.6,4,41,201.9,91.5,75,38.5,175
50957,SM,4,1B,M,WT,black+tan,29.3,143.4,6386.6,AM,0,7.7,10.3,5,40.5,195.8,38.7,80,42.3,201
50958,PL,5,1B,F,HET,agouti,20.7,66.5,4744.5,AM,5.36,20.3,20.5,1,29.3,10.8,65,46,22.5,124
50959,PL,5,1B,F,HET,agouti,20.7,46.6,3257.9,AM,4.02,50,4,2,22.8,10.3,170.4,39,20.5,137
50960,PL,5,1B,F,WT,agouti,20.6,142.9,3847.7,AM,0.9,19.6,8.9,3,41.7,13.6,64.2,41,23.8,110
50961,PL,5,1B,F,HET,agouti,19.7,107,3572.2,AM,4.47,11.7,22.8,4,26.3,18.2,149,38,21.1,104
50962,SJL,3,1B,F,WT,agouti,20.8,72.4,4874.7,AM,5.36,68.3,76.3,5,46.4,37.9,120.7,55,23.7,101
50963,SJL,3,1B,F,HET,agouti,20.7,32.7,3597.1,AM,1.34,74.2,13,1,30.4,15,146.2,43,22.6,103
50964,NZW,7,1B,M,WT,agouti,34.3,111.1,4097.1,AM,0,3,4.5,2,44.3,117.4,96,98,40.1,157
50965,NZW,7,1B,M,HET,agouti,32.6,42,3289.2,AM,1.34,21.4,31.3,3,44.2,77.8,74.4,66,36,113
50966,NZW,7,1B,F,WT,agouti,27.1,99.4,3910.4,AM,0.9,12.6,88,4,37.5,102.9,126.1,45,35.7,118
50967,NZW,7,1B,F,WT,agouti,25.4,87.4,3307.6,AM,3.13,51.8,71.9,5,28.4,69.9,118.9,61,30.7,111
50968,NZW,7,1B,F,HET,agouti,25.8,28.4,2898.3,AM,1.34,26,39.3,1,53.2,23.5,136.3,67,29,116
50969,NZW,7,1B,F,HET,agouti,24.6,123.4,3803.5,AM,0.45,42.7,46.4,2,29.5,67.3,82.3,55,30.5,107
50970,NZW,7,1B,F,WT,agouti,26,48.9,3071.3,AM,1.79,90.2,95.5,3,28.3,46.5,100.4,66,31.5,94
50971,NZB,6,1B,M,HET,black,30,32.6,5203.7,AM,0.45,25.4,42.9,4,23.7,129.2,79.6,56,35.2,132
50972,NZB,6,1B,M,HET,black,28.9,55.2,4611.2,AM,0.45,12.8,42.9,5,49.9,116.5,56.5,61,34.2,146
50973,NZB,6,1B,M,HET,black,29.3,56.2,5440.7,AM,7.59,8.7,1.3,1,43,96,37.1,51,36.6,141
50974,NZB,6,1B,F,HET,black,22.3,15.9,3345,AM,0.45,10.9,31.3,2,34.3,50.1,34.1,44,27.3,87
50975,NZB,6,1B,F,HET,black,21.5,102.6,2309.9,AM,2.23,91.6,44.6,3,-2.9,53.6,84.1,46,25.4,116
50976,NZB,6,1B,F,WT,black,21.7,98.2,6043.1,AM,11.61,88.6,83.9,4,28.7,23.5,18.7,46,28.8,128
50978,NON,4,1B,M,HET,agouti,31.9,48.4,3950.1,AM,0.45,6.6,0.5,5,49.8,35.6,141,35,36.2,132
50979,NON,4,1B,M,HET,agouti,34.8,17.9,4187,AM,0,4.5,4,1,40.5,15.8,51.3,46,42.8,121
50980,NON,4,1B,M,HET,agouti,33.7,5.1,3227.2,AM,1.34,0.4,4,2,21.6,11.2,66,69,42.6,159
50982,CBA,6,2A,M,WT,agouti,27,279.1,4977.2,AM,3.57,8.7,8.9,1,46.5,66.3,28.5,80,32.7,122
50983,CBA,6,2A,M,HET,agouti,25.6,102.9,5651.5,AM,1.79,3.6,14.7,2,68.8,107.6,17.5,66,33.2,133
50984,CBA,6,2A,M,HET,agouti,26.1,116.4,4300,AM,0.45,1.8,3.1,3,3.8,69.8,40.1,64,33.6,129
50985,CBA,6,2A,F,HET,agouti,20.6,228,5486.7,AM,1.79,4.5,9.4,4,47.8,84.9,33.1,76,24.8,124
50986,CBA,6,2A,F,WT,agouti,21.4,136.6,5538.8,AM,1.79,1.6,12.9,5,63.3,82.6,46.3,75,26.3,150
50987,CBA,6,2A,F,HET,agouti,21.9,113.3,4645.3,AM,0.45,5.9,3.8,1,63.9,34.3,13.8,54,21.8,117
50988,SJL,6,2A,F,WT,agouti,19.9,80.1,5607.5,AM,2.24,69.8,51.7,2,18.3,19.3,84.1,43,23.2,143
50989,SJL,6,2A,F,HET,agouti,19.7,28.8,2745.6,AM,0.45,38.9,18.9,3,47.2,48.2,89.6,41,21.2,126
50990,SJL,6,2A,F,WT,agouti,21,85,3969.4,AM,4.02,81,18.3,4,58.4,38.9,8.6,47,24.9,111
50991,SJL,6,2A,F,HET,agouti,19.8,60.3,4766.1,AM,0,32,29.5,5,71.4,40.3,50,37,21.6,125
50992,SJL,6,2A,F,HET,agouti,17.1,36.5,2970.3,AM,13.84,39.5,15.6,1,33.4,9.7,43.1,42,20.1,102
50993,C58,4,2A,F,HET,black,18.1,65.7,6804.5,AM,6.7,13.2,1.3,2,45.7,8.4,24,63,22.5,117
50994,C58,4,2A,F,HET,black,18.3,163.3,6719.4,AM,4.02,19.8,9.4,3,22.3,8,1.9,71,21.1,113
50995,C58,4,2A,F,WT,black,19.7,185.9,6992.3,AM,4.02,13,26.8,4,48.9,24.8,70.7,66,22.6,141
50996,ILN,8,2A,M,HET,black+reddish,28.3,9.3,3263.8,AM,9.82,16.9,33.9,5,23.6,10.9,97.1,73,31.3,136
50997,ILN,8,2A,M,HET,black+reddish,27.2,33.4,5831.5,AM,0,3.9,7.6,1,47.9,51,81.3,49,30.4,164
50998,ILN,8,2A,M,HET,black+reddish,28.9,6.4,5285.4,AM,2.69,7.3,1.8,2,41.2,94.5,33.8,72,32.1,161
50999,ILN,8,2A,F,WT,black+reddish,21.1,39.4,3255.7,AM,2.25,34.2,27.4,3,10.6,80.1,182.8,63,27.3,159
51000,ILN,8,2A,F,WT,black+reddish,21.3,66.5,5160.1,AM,12.61,29.7,5.8,4,56,89.6,110.4,45,26,120
51001,ILN,8,2A,F,WT,black+reddish,21.7,49.5,5352.1,AM,4.03,10.3,48.9,5,54.8,85.4,34.8,50,28,124
51002,ILN,8,2A,F,HET,black+reddish,20.5,19.7,3318.5,AM,2.78,53.6,9,1,33.6,8.6,190.6,49,25.7,150
51003,ILN,8,2A,F,HET,black+reddish,21.1,6,1651.9,AM,1.85,6.8,71.7,2,63,48.8,159.3,42,24.8,152
